,hit_type_id,hit_id,assign_id,worker_id
0,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3Y5140Z9DXHHQZOEPRZ8KDOVUQHPIB,ATR6RB1RULOC0
1,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3KB8R4ZV1E81QEH9GYH44H6QY9ABGK,A3T3WRVSK1N2PR
2,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3DHE4R9OCWC721HDX5OT3O3M43Y2GA,A98E8M4QLI9RS
3,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3QECW5O0KH2363M6ZOPY0ELNE7RT55,A3VL1CBZ3BGQK7
4,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3Z7VU45IPYI04XUM4TC4JC9NNNE1ZH,AJQGWGESKQT4Y
5,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3L0KT67Y8EH0TRJBLQP516NU7TNSY1,A307K1CZXGBN4L
6,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3E337GFOL993RN66JOMDVC6KFYJNGG,A49MD40UT6ABO
7,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,30OG32W0SUC579AFDTWPV9L82ICENY,A171S8E9IFSHH2
8,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,333U7HK6I9G4WD5U20TDWKM6TM6JD6,A3GWRDHAURRNK6
9,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3Z7EFSHGN9FVM545J8D33NC3JKAXC9,A2VIKCIM9TZL22
10,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,33IZTU6J812BTMT1GU33ISGL5NWXS3,A1WJIRT360P5VB
11,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3HFNH7HEMHFOUKJYZGEUZ61PK9HGQ7,A21LONLNBOB8Q
12,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3IRIK4HM3ALI3QK9IL4D3AZJMGFC6Y,A1PBRKFHSF1OF8
13,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3XCC1ODXDLCFJASCFR86YAFWMIUQRF,A2K607J3Z68WRR
14,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3FIUS151DV3XHVPKWK9I5SXNEM9GGD,A39SK1E6IMQBD5
15,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3I02618YA07MZQJEJ8OM3GC6OLEPUT,A5TWD5QD99GZY
16,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3RJSC4XJ10V2QUPF1M1OG3JIHW905F,A2BT7QVGXJKFKI
17,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3AZHRG4CU4LZCF2BN3DV16LY30I03P,A1F6MWP9A0XLJQ
18,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3A0EX8ZRN8P1C529A43ABHDU35GYBL,A31PW970Z2PC5P
19,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3RJSC4XJ10V2QUPF1M1OG3JIHX705F,A163XFZG5BI0XU
20,3K4OUUN0MMM1V0GQ8RC9O2T41G0MCS,3G3AJKPCXLTE5MJ65NOLFKCX9T9Y4H,3PW9OPU9PQLAYMRAFM3QW1ZG2G9127,ARCZLTB18LD33
