,hit_type_id,hit_id,assign_id,worker_id,missing,excess,,,,bad
0,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3C44YUNSI1Q0IO8SXDYXTG8I1AGDPH,A171S8E9IFSHH2,"""Wilson said""",-,,,,perfect
1,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3OXV7EAXLERUQQOQPSTCA7VPFS1363,A2VIKCIM9TZL22,"""There remains a possibility""",-,,,,
2,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3EQHHY4HQSTZ1Y00FOQR1V6YN2V5GX,AHDBHMH3AY1V2,-,-,,,,
3,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,34MAJL3QP4OGB3KC640XD9BBJ1V34I,APRZ7BR8C0ZMQ,"""Wilson said"" + ""There remains a possibility""","""said""",,,,
4,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3C2NJ6JBKAIDCTYZK91OT8CJ44QN2M,A1F9KLZGHE9DTA,"""Wilson said"" + ""There remains a possibility""","""said""",,,,
5,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3P4MQ7TPPXD5ZX9Y0CPQ36FTHLPBBN,A1P51R2I1JDI5J,,,,,,
6,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3300DTYQT2IQA6N7TLO6Z3GD6I4EQ3,ATR6RB1RULOC0,-,-,,,,
7,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3O7L7BFSHEQDT8ZOGDJXQ1PRF8PIE6,A2ZVXYMQ3B5O6F,,,,,,
8,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3NVC2EB65Q0W9AYWVBO4TYFIE2WY30,A11ILN5YSUDVG8,"""Wilson said""",-,,,,
9,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3WYP994K17SV6TLEEDM201R2OTXY65,A3A8P4UR9A0DWQ,,,,,,
10,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3QY5DC2MXRLA8DUK55SHRMY2L4RFUT,A3QAL3X23LHJRV,,,,,,
11,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3WJEQKOXA83Z3PMES1W52JIEDRGA1B,A307K1CZXGBN4L,-,-,,,,
12,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3GU1KF0O4I273RA8JH7RYQKIYP7PBP,ARCZLTB18LD33,"""Wilson said""",-,,,,
13,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3WETL7AQWT9Y7MOCK9J7I1HPJXQ35N,A272X64FOZFYLB,,,,,,
14,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,32UTUBMZ7GXK8B745TGQ4I90KD8VBG,A31PW970Z2PC5P,"""Wilson said""",-,,,,
15,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3OWEPKL089DKYUV5QLIJPZTRFKI7NS,A3U21PUMQ6NGT2,,,,,,
16,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3R5F3LQFV2LL0P1NAVAFV8MVFN1OZH,A2K607J3Z68WRR,"""There remains a possibility""",-,,,,
17,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,3ZAZR5XV01JKR04KKQ1O08SEQ9JCZ9,A1PBRKFHSF1OF8,-,-,,,,
18,3WH5V4A7WNFNRTIY91UJYZ140X4TKC,3XDSWAMB22T8RO5Z7SD9LWLJ2VRCQJ,374TNBHA8BWOGB4YTM00668TOUFQY0,A49MD40UT6ABO,-,-,,,,
