,hit_type_id,hit_id,assign_id,worker_id,docName,summaryName
0,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3Z33IC0JC0NYYYUDH7XSPTJJDB9V93,39JEC7537U23IGZAJTCLF2FI4VLCVD,A5TWD5QD99GZY,WSJ920103-0037,WSJ920103-0037_d54ii
1,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3U18MJKL1UNNORS7R0LSH2QEXTANCV,326O153BMIZWLXJ2OZIMZ49EP0TDE7,AJQGWGESKQT4Y,WSJ911031-0012,WSJ911031-0012_d54ib
2,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3APP19WN71FSYI2KU5VU5IP70VDG6O,337RC3OW053WLKTGW65KIL55Y3SLVT,ATR6RB1RULOC0,WSJ911031-0012,WSJ911031-0012_d54ik
3,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3N3WJQXELSRK29XKIUG7SXD3G7XL2I,3XIQGXAUMC9PAO99SR5SN1KPJV1X77,A5TWD5QD99GZY,WSJ910716-0009,WSJ910716-0009_assessor_g
4,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3K3G488TR29NS3WKSIQ17QF9ANBQ5D,3YMTUJH0DSHLAKI6LJ6OVMF9FX04TO,AVBRJBJONL47I,WSJ910717-0134,WSJ910717-0134_assessor_a
5,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3DW3BNF1GHJYKTB3CFREPXO8T5RV8E,33IZTU6J812BTMT1GU33ISGL69FXSV,A21LONLNBOB8Q,WSJ910822-0095,WSJ910822-0095_assessor_c
6,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,36MUZ9VAE63TZDL8YXDKBLEN41LDEW,39KFRKBFINWLVZRIE98WH1DTBPYOYL,AJQGWGESKQT4Y,WSJ911126-0106,WSJ911126-0106_assessor_k
7,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3SBX2M1TKDO5WKSKED7R2Y9VARGQ48,37UEWGM5HT9R268VUCIRX97OFR91R9,AJQGWGESKQT4Y,WSJ920103-0037,WSJ920103-0037_d54ib
8,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,32XN26MTXZKD6ZU637CT99KOJ9DL0Y,3FPRZHYEPY8F5G3RQ01KMZBOYIH3VF,ATR6RB1RULOC0,WSJ910624-0157,WSJ910624-0157_assessor_j
9,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3I6NF2WGIGXWFE26PMLPDCB7402G58,3HVVDCPGTET18RWQAQUVBBJGAXEYTG,A5TWD5QD99GZY,WSJ910717-0134,WSJ910717-0134_assessor_h
10,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,33J5JKFMK6ZKEO9GEZ28STHPWRKQ3N,3H8DHMCCW9CZ7XBCKLTPXZMJ9XLKDU,A5TWD5QD99GZY,WSJ910709-0115,WSJ910709-0115_d13cc
11,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3SV8KD29L4TZOEIEM1DK08AVCGRKZM,3FK0YFF9PZHZHP5AAA7Q5U37P1SVVK,A1PBRKFHSF1OF8,WSJ910709-0115,WSJ910709-0115_d13ce
12,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3QE4DGPGBRCEJVY6BH2F8K5T447G43,37W3JXSD669T080K5VZ6YVQFERYYW8,AJQGWGESKQT4Y,WSJ910709-0115,WSJ910709-0115_d13cf
13,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3BAWBGQGYL0UKF6K2AZ8BXSDILLV7R,3LRKMWOKB5I7TICINXCIOVJSGE5Z2G,AVBRJBJONL47I,WSJ910822-0095,WSJ910822-0095_assessor_f
14,3ES7ZYWJEB6F3MFFHUWWWXL8KU4CHC,3L4YG5VW9NTO7778222053W24PKDD3,3JBT3HLQF833LPDOPVNUK8RLROYPZU,A5TWD5QD99GZY,WSJ910716-0009,WSJ910716-0009_assessor_h
